Model,Epsilon,Iterations,Baseline_Accuracy,Adversarial_Accuracy,Attack_Success_Rate
Logistic Regression,0.05,5,0.9258254183627318,0.9253731343283582,0.04885197850512924
Logistic Regression,0.05,10,0.9258254183627318,0.9258254183627318,0.0
Logistic Regression,0.05,20,0.9258254183627318,0.925599276345545,0.024425989252570616
Logistic Regression,0.1,5,0.9258254183627318,0.9253731343283582,0.04885197850512924
Logistic Regression,0.1,10,0.9258254183627318,0.925599276345545,0.024425989252570616
Logistic Regression,0.1,20,0.9258254183627318,0.925599276345545,0.024425989252570616
Random Forest,0.05,5,0.9841700587969244,0.9841700587969244,0.0
Random Forest,0.05,10,0.9841700587969244,0.9841700587969244,0.0
Random Forest,0.05,20,0.9841700587969244,0.9841700587969244,0.0
Random Forest,0.1,5,0.9841700587969244,0.9841700587969244,0.0
Random Forest,0.1,10,0.9841700587969244,0.9841700587969244,0.0
Random Forest,0.1,20,0.9841700587969244,0.9841700587969244,0.0
SVM (RBF),0.05,5,0.9622342831298055,0.9626865671641791,-0.047003525264394615
SVM (RBF),0.05,10,0.9622342831298055,0.9629127091813658,-0.07050528789658615
SVM (RBF),0.05,20,0.9622342831298055,0.9624604251469923,-0.023501762632191538
SVM (RBF),0.1,5,0.9622342831298055,0.9624604251469923,-0.023501762632191538
SVM (RBF),0.1,10,0.9622342831298055,0.9626865671641791,-0.047003525264394615
SVM (RBF),0.1,20,0.9622342831298055,0.9624604251469923,-0.023501762632191538
